Tweets,Username,Created_at,User location,Coordinates
Último atardecer en Chanià . . . . . . . #sunset #sunsetlovers #chania #chaniacrete #canea #khania #crete #cretegreece #sealovers #harbour #archilovers #houses #creteisland … https://www. instagram.com/p/BomWsPyHpdE/ ?utm_source=ig_twitter_share&igshid=qc63esd0l5r0 …,henrick@gm,10/6/2018 20:01,"London,UK",-
The game... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete … https://www. instagram.com/p/BolUH-UlDyGU DBLfoDe4pn43ca8ItBNEwylA7Y0/?utm_source=ig_twitter_share&igshid=mfuv6kwfkkva …,henrick@gm,10/6/2018 10:19,"London,UK",-
Looking back my photos from Crete. Amazing seaside and landscape combination... #lovegreece #mountains #sunset_lovers #sunset #landscape #sea #crete #sunset_pics #landscape_lovers #nature #greece #sunsets #landscapephotography #beach #creteisland #landsc … https:// ift.tt/2OalZ9e pic.twitter.com/bToj1ZSwjB,henrick@gm,10/5/2018 19:55,"London,UK",-
I love that beer me RT @brulafu : When in Crete #landscape #chania #crete #greece #creteisland #cretegreece #kreta #crète #sea #crête #travel … https:// twitter.com/i/web/status/1 048221830404870144 …,henrick@gm,10/5/2018 17:47,"London,UK",-
When in Crete #landscape #chania #crete #greece #creteisland #cretegreece #kreta #crète #sea #crête #travel #cretelife #cretesenesi #photography #beer #mythos #sand #holiday #holidays @… https://www. instagram.com/p/Bojh88JHCLW/ ?utm_source=ig_twitter_share&igshid=1d9zxbtf0s89i …,henrick@gm,10/5/2018 17:42,"London,UK",-
Beauty in a shot! #crete #kreta #greece #creteisland #chania #oldtown #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BoilMaJH5QH/ ?utm_source=ig_twitter_share&igshid=11fff8d9waqcw …,henrick@gm,10/5/2018 8:51,"London,UK",-
Cima . . . . . . . . #gramvousa #gramvousaisland #amazingview #mountainlover #beach #beachlovers #crete #cretegreece #creteisland #greekisland #greece #visitgreece #unlimitedgreece … https://www. instagram.com/p/BoigDE9nOh2/ ?utm_source=ig_twitter_share&igshid=2im5qetj55hx …,henrick@gm,10/5/2018 8:06,"London,UK",-
Doomed! #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #tourist #tourism #travelling #traveler #tourism #travelingram #igtravel #traveller #travel … https://www. instagram.com/p/BogCJJki-k9/ ?utm_source=ig_twitter_share&igshid=11r9vl717n6ue …,henrick@gm,10/4/2018 9:06,"London,UK",-
The mirror... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete … https://www. instagram.com/p/Bof-y9ZlBby7 2gveexPHo5_YB76Z45KpWtuWHE0/?utm_source=ig_twitter_share&igshid=wlk77r25rkxv …,henrick@gm,10/4/2018 8:37,"London,UK",-
Chanià Venetian harbour . . . . . . . . . #chania #chaniacrete #canea #khania #crete #cretegreece #port #sealovers #creteisland #greekisland #greece #visitgreece #unlimitedgreece … https://www. instagram.com/p/BofnaiZnGX4/ ?utm_source=ig_twitter_share&igshid=137qparwlsqq …,henrick@gm,10/4/2018 5:15,"London,UK",-
